,ScripToken,LTPrice,LTQuantity,LTDate,BidPrice,BidQuantity,OfferPrice,OfferQuantity,TotalTradedQty,TradedQuantity,AverageTradePrice,Open,High,Low,Close,PerChange,TurnOver,YearlyHigh,YearlyLow,UpperCkt,LowerCkt,Difference,CostofCarry1,CostOfCarry2,ChangeIndicator,SpotPrice,OITime,OI,OIHigh,OILow,TotalTrades,TradeValueFlag,Trend,SunFlag,AllnoneFlag,Tender,PriceQuotation,TotalBuyQty,TotalSellQty,SegmentId,OIDifference,OIDiffPercentage
0,46283,970,75,06/23/2020 15:29:59,950,825,970,1425,28829175,150,1765,2000,2825,595,3505,-7233,508800,0,0,5130,5,-2535,0,0,-,1048310,15:30:00,4852575,5306550,4616625,0,,,,,0,,197475,406275,,235950,511
1,106180,1120,250,06/23/2020 15:29:53,1120,250,1145,250,1010500,3000,1974,2445,2860,1120,2140,-4766,19900,0,0,0,0,-1020,0,0,-,203800,15:29:53,176750,241500,176750,0,,,,,0,,44500,56250,,-50750,-2231
2,46286,39325,75,06/23/2020 15:29:51,39110,2025,39425,225,1262100,75,29570,25920,39325,22645,23690,6600,373200,0,0,129090,5,15635,0,0,+,1048195,15:29:45,1144500,1273725,1144500,0,,,,,0,,57750,36600,,-123150,-971
3,46287,1210,75,06/23/2020 15:29:57,1205,375,1250,1200,25055850,300,2515,3695,4275,1130,4920,-7541,630200,0,0,9945,5,-3710,0,0,-,1048365,15:29:59,2214150,3220125,2214150,0,,,,,0,,122625,185025,,-737625,-2499
4,46288,29700,75,06/23/2020 15:29:59,29500,75,29700,75,6665850,75,20790,17475,29700,15200,16205,8328,1385800,0,0,112290,5,13495,0,0,+,1048275,15:29:59,918375,1277700,918375,0,,,,,0,,94050,51675,,-322875,-2601
5,46290,1700,75,06/23/2020 15:29:54,1685,2250,1705,1050,36699825,750,3828,5125,6870,1570,7520,-7739,1404900,0,0,17755,5,-5820,0,0,-,1048275,15:29:59,2754825,3052350,2097375,0,,,,,0,,126750,283425,,657450,3135
6,46293,20795,150,06/23/2020 15:29:59,20405,300,20795,375,28144500,225,13708,10240,20795,9335,10285,10219,3858000,0,0,92980,5,10510,0,0,+,1048310,15:30:00,1684125,2919300,1684125,0,,,,,0,,138750,36225,,-910350,-3509
7,106181,2200,250,06/23/2020 15:29:58,2130,250,2260,2000,935500,250,2216,1995,2730,1670,2315,-497,20700,0,0,0,0,-115,0,0,-,203900,15:29:58,187000,216500,158750,0,,,,,0,,50000,32750,,28250,1780
8,46294,2525,300,06/23/2020 15:29:59,2525,600,2620,675,44933250,1650,6368,9145,11030,2460,11625,-7828,2861300,0,0,29185,5,-9100,0,0,-,1048310,15:30:00,3020550,3523725,1793025,0,,,,,0,,156450,358350,,1227525,6846
9,46298,6875,75,06/23/2020 15:29:57,6860,300,6900,7650,59794725,6000,4549,3760,6990,2650,3160,11756,2720100,0,0,53175,5,3715,0,0,+,1048305,15:30:00,4064850,4304475,3577275,0,,,,,0,,391425,136875,,487575,1363
10,64845,7495,300,06/23/2020 15:29:32,7310,300,7945,5100,119700,300,8152,8505,8950,7365,8145,-798,9800,0,0,16880,5,-650,0,0,-,203735,15:29:32,38700,43500,24000,0,,,,,0,,25200,27300,,14700,6125
11,106182,3075,250,06/23/2020 15:28:38,2830,250,3285,500,103000,250,4035,4895,5175,3075,4485,-3144,4200,0,0,0,0,-1410,0,0,-,203700,15:28:38,41250,49000,41250,0,,,,,0,,8500,15250,,-6000,-1270
12,64846,8655,300,06/23/2020 15:29:03,8455,300,8795,300,99300,300,8514,8300,9000,7595,8195,561,8500,0,0,20310,5,460,0,0,+,203825,15:29:03,45900,48300,25200,0,,,,,0,,26400,29100,,20700,8214
